        size,          ops,         time,      op/time
      131072,     31248384,     0.034374,   9.0907e+08
      262144,     31248384,     0.043135,  7.24432e+08
      393216,     31248384,     0.051147,  6.10952e+08
      524288,     31244288,     0.050988,  6.12777e+08
      655360,     31242240,     0.051267,  6.09402e+08
      786432,     31248384,     0.051410,  6.07827e+08
      917504,     31238144,     0.051666,  6.04617e+08
     1048576,     31244288,     0.063540,  4.91726e+08
     1179648,     31242240,     0.053720,  5.81576e+08
     1310720,     31232000,     0.051960,  6.01078e+08
     1441792,     31246336,     0.052277,  5.97707e+08
     1572864,     31236096,     0.052979,  5.89594e+08
     1703936,     31229952,     0.054646,  5.71496e+08
     1835008,     31223808,     0.053501,  5.83612e+08
     1966080,     31242240,     0.051860,  6.02434e+08
     2097152,     31227904,     0.060642,  5.14955e+08
     2228224,     31229952,     0.054149,  5.76741e+08
     2359296,     31223808,     0.062347,  5.00807e+08
     2490368,     31246336,     0.054664,  5.71607e+08
     2621440,     31211520,     0.053530,  5.83066e+08
     2752512,     31223808,     0.059084,  5.28465e+08
     2883584,     31223808,     0.055843,  5.59136e+08
     3014656,     31229952,     0.061186,   5.1041e+08
     3145728,     31211520,     0.054872,  5.68806e+08
     3276800,     31232000,     0.060566,  5.15669e+08
     3407872,     31203328,     0.057074,  5.46717e+08
     3538944,     31242240,     0.058576,  5.33362e+08
     3670016,     31195136,     0.062834,  4.96469e+08
     3801088,     31240192,     0.086049,  3.63051e+08
     3932160,     31211520,     0.067359,  4.63361e+08
     4063232,     31236096,     0.074718,  4.18053e+08
     4194304,     31195136,     0.074879,  4.16607e+08
     4325376,     31223808,     0.069062,  4.52113e+08
     4456448,     31195136,     0.072772,  4.28669e+08
     4587520,     31180800,     0.074054,  4.21055e+08
     4718592,     31186944,     0.081056,  3.84758e+08
     4849664,     31219712,     0.077070,  4.05083e+08
     4980736,     31207424,     0.085636,  3.64419e+08
     5111808,     31229952,     0.101248,   3.0845e+08
     5242880,     31211520,     0.092775,  3.36422e+08
     5373952,     31236096,     0.097107,  3.21667e+08
     5505024,     31223808,     0.104532,  2.98701e+08
     5636096,     31174656,     0.125498,  2.48408e+08
     5767168,     31178752,     0.109231,  2.85439e+08
     5898240,     31242240,     0.128111,  2.43869e+08
     6029312,     31182848,     0.123299,  2.52904e+08
     6160384,     31186944,     0.135348,   2.3042e+08
     6291456,     31162368,     0.119192,  2.61447e+08
     6422528,     31209472,     0.135797,  2.29824e+08
     6553600,     31232000,     0.126546,  2.46804e+08
     6684672,     31229952,     0.156460,  1.99603e+08
     6815744,     31203328,     0.147214,  2.11959e+08
     6946816,     31152128,     0.147465,  2.11251e+08
     7077888,     31186944,     0.161456,  1.93161e+08
     7208960,     31201280,     0.141641,  2.20284e+08
     7340032,     31195136,     0.143968,  2.16681e+08
     7471104,     31168512,     0.162808,  1.91443e+08
     7602176,     31240192,     0.151258,  2.06536e+08
     7733248,     31174656,     0.162655,  1.91661e+08
     7864320,     31211520,     0.151968,  2.05382e+08
     7995392,     31232000,     0.157477,  1.98327e+08
     8126464,     31236096,     0.157908,  1.97812e+08
     8257536,     31223808,     0.152586,  2.04631e+08
